T13CC 730:667 SEGGER J-Link V4.80f Log File (0000ms, 11577ms total)
T13CC 730:667 DLL Compiled: Feb  5 2014 10:36:54 (0000ms, 11577ms total)
T13CC 730:667 Logging started @ 2015-06-24 00:57 (0000ms, 11577ms total)
T13CC 730:668 JLINK_ExecCommand("Device = AT91SAM4SD32C", ...)Device "ATSAM4SD32C" selected (2048 KB flash, 160 KB RAM).  returns 0x00 (0003ms, 11581ms total)
T13CC 730:671 JLINK_TIF_Select(JLINKARM_TIF_SWD)  returns 0x00 (0002ms, 11583ms total)
T13CC 730:673 JLINK_SetSpeed(500) (0000ms, 11583ms total)
T13CC 730:673 JLINK_Connect() >0x108 TIF>Found SWD-DP with ID 0x2BA01477 >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF>
 >0x21 TIF>Found Cortex-M4 r0p1, Little endian. -- CPU_WriteMem(4 bytes @ 0xE0002000) -- CPU_ReadMem(4 bytes @ 0xE000EDF0) -- CPU_ReadMem(4 bytes @ 0xE0002000)FPUnit: 6 code (BP) slots and 2 literal slots -- CPU_ReadMem(4 bytes @ 0xE000EDFC) -- CPU_ReadMem(4 bytes @ 0xE0001000) -- CPU_WriteMem(4 bytes @ 0xE0001000) -- CPU_ReadMem(4 bytes @ 0xE00FF010)TPIU fitted. -- CPU_ReadMem(4 bytes @ 0xE00FF014) -- CPU_ReadMem(4 bytes @ 0xE00FF018)  returns 0x00 (0032ms, 11615ms total)
T13CC 730:705 JLINK_GetDebugInfo(0x100) -- Value=0xE00FF003  returns 0x00 (0001ms, 11616ms total)
T13CC 730:706 JLINK_ReadMemU8(0xE00FFFF0, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE00FFFF0) -- Data:  0D  returns 0x01 (0001ms, 11617ms total)
T13CC 730:707 JLINK_ReadMemU8(0xE00FFFF4, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE00FFFF4) -- Data:  10  returns 0x01 (0001ms, 11618ms total)
T13CC 730:708 JLINK_ReadMemU8(0xE00FFFF8, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE00FFFF8) -- Data:  05  returns 0x01 (0001ms, 11619ms total)
T13CC 730:709 JLINK_ReadMemU8(0xE00FFFFC, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE00FFFFC) -- Data:  B1  returns 0x01 (0001ms, 11620ms total)
T13CC 730:710 JLINK_ReadMemU8(0xE00FFFD0, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE00FFFD0) -- Data:  04  returns 0x01 (0001ms, 11621ms total)
T13CC 730:711 JLINK_ReadMemU8(0xE00FFFD4, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE00FFFD4) -- Data:  00  returns 0x01 (0001ms, 11622ms total)
T13CC 730:712 JLINK_ReadMemU8(0xE00FFFD8, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE00FFFD8) -- Data:  00  returns 0x01 (0002ms, 11624ms total)
